Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress ScoreÂ®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-10-01 11:06:32,false,"Leuven Running","8.98","657","00:47:58","139","159","165","173","5:21","3:58","71","67","1.14","0.0","--","--","--","7,902","No","00:00:04.9","10","00:47:50","00:50:07","23","51"
Running,2025-09-27 11:23:54,false,"Leuven Running","10.28","801","00:54:16","152","168","163","173","5:17","3:26","74","59","1.16","0.0","--","--","--","8,910","No","00:02:13.7","11","00:54:08","01:04:19","20","45"
Running,2025-09-25 12:06:28,false,"Leuven Running","5.26","401","00:26:39","155","173","162","184","5:04","3:23","29","31","1.21","0.0","--","--","--","4,356","No","00:01:25.4","6","00:26:38","00:26:43","19","34"
Running,2025-09-22 17:46:14,false,"Leuven Running","11.69","905","01:04:21","150","162","160","172","5:30","3:54","90","90","1.14","0.0","--","--","--","10,266","No","00:00:19.6","13","01:04:11","01:08:37","24","82"
Running,2025-09-16 17:38:02,false,"Leuven Running","7.37","558","00:39:44","150","181","162","214","5:23","2:13","19","18","1.14","0.0","--","--","--","6,446","No","00:02:07.8","8","00:39:38","00:52:27","22","31"
Running,2025-09-09 17:26:45,false,"Leuven Running","8.87","714","00:48:10","155","169","161","169","5:26","4:44","49","49","1.15","0.0","--","--","--","7,774","No","00:04:34.5","9","00:48:02","00:50:07","25","59"
Walking,2025-09-05 12:34:43,false,"Leuven Walking","3.78","186","00:56:06","76","99","13","215","14:50","2:00","2","31","7.09","0.0","--","--","--","694","No","00:02:41.1","4","00:15:56","00:56:06","22","54"
Running,2025-09-01 19:23:00,false,"Leuven Running","11.55","884","01:04:27","145","174","160","177","5:35","4:03","113","115","1.12","0.0","--","--","--","10,282","No","00:02:50.4","12","01:04:24","01:05:55","17","82"
Running,2025-08-28 17:51:16,false,"Leuven Running","12.02","962","01:10:05","150","171","160","171","5:50","4:22","79","78","1.07","0.0","--","--","--","11,204","No","00:00:06.1","13","01:09:56","01:13:23","24","82"
Running,2025-08-16 10:59:35,false,"Koksijde Running","14.35","1,118","01:26:51","137","168","158","217","6:03","3:28","58","58","1.04","0.0","--","--","--","13,756","No","00:02:03.7","15","01:26:47","01:29:34","--","19"
Walking,2025-08-03 14:23:37,false,"Jalhay Walking","2.75","262","00:44:25","103","119","67","236","16:10","7:25","81","39","0.93","0.0","--","--","--","3,588","No","00:13:07","3","00:32:36","00:44:25","361","443"
Pool Swim,2025-07-28 17:00:10,false,"Pool Swim","1,000","235","00:12:10","97","147","--","--","1:01","0:40","--","--","--","0.0","263","29","26","--","No","00:00:01.4","7","00:10:14","00:43:37","--","--"
Running,2025-07-15 11:59:20,false,"Leuven Running","5.03","371","00:24:38","155","188","162","182","4:54","3:13","18","14","1.26","0.0","--","--","--","4,052","No","00:00:11.4","6","00:24:34","00:27:11","22","33"
Walking,2025-07-13 17:18:05,false,"Leuven Walking","0.11","22","00:06:28.9","78","98","5","173","57:28","7:17","--","--","3.42","0.0","--","--","--","12","No","00:00:01.3","4","00:00:00","00:34:24","26","28"
Walking,2025-07-05 14:02:44,false,"Aarschot Walking","11.68","847","02:27:38","92","121","97","158","12:39","8:59","188","183","0.82","0.0","--","--","--","14,964","No","00:10:44","12","02:15:13","02:37:25","11","70"
Running,2025-06-29 12:26:35,false,"Leuven Running","12.29","980","01:02:10","164","176","164","169","5:03","3:45","69","71","1.21","0.0","--","--","--","10,188","No","00:01:32.4","13","01:02:05","01:05:16","20","40"
Running,2025-06-27 14:03:05,false,"Leuven Running","4.20","319","00:20:43","156","180","158","188","4:56","3:12","--","1","1.29","0.0","--","--","--","3,292","No","00:01:09.2","5","00:20:35","00:20:46","23","27"
Running,2025-06-17 19:31:41,false,"Leuven Running","9.18","728","00:47:47","160","184","163","179","5:12","3:25","7","6","1.18","0.0","--","--","--","7,760","No","00:01:11.2","10","00:47:44","00:49:13","22","32"
Running,2025-06-15 16:15:50,false,"Leuven Running","12.03","969","01:03:23","159","173","164","169","5:16","4:15","72","67","1.16","0.0","--","--","--","10,364","No","00:00:10.6","13","01:03:17","01:06:05","20","41"
Running,2025-06-11 18:07:15,false,"Leuven Running","5.75","466","00:31:54","147","187","149","205","5:33","2:23","9","11","1.21","0.0","--","--","--","4,842","No","00:04:31.6","6","00:31:01","00:34:12","22","32"
